Date,EFA,EWG,EWU,EWW,FEMKX,FLPSX,IJS,IJT,IVV,IWM,JUEAX,MACSX,MASKX,MDY,QQQ,SLYV,SPY,SWPPX,SWSSX,TGINX,VBIRX,VFIAX,VGENX,VGSLX,VTI,VTRIX,VTSAX,VVIAX,YACKX
2002-02-13,0.0013290542523733961,0.0014340088529392059,0.0021124427152925396,0.00875558004809962,0.004938313964032215,0.00799378918649718,0.00619250631530921,0.006797185140492212,0.010533295951565158,0.00948752291211341,0.01118968404748788,0.0020324173376802257,0.009823499852382733,0.012866310635415878,0.017065863660921554,0.004266963565582982,0.010622662927100901,0.009924476706158813,0.008526191612603373,0.0,-0.000981774242271527,0.01026601989458964,0.0060977532139678825,0.004634019442897985,0.009270002049869275,0.0027800018852444097,0.010032621341612868,0.009454542267032906,0.0053427953768825365
2002-02-14,0.007964521111527567,0.006442601227061084,-0.002810979992003526,0.009299284191216506,0.02334138386171203,-0.0007209290868412932,-0.004761101926560651,-0.007148351267566078,-0.0022274843452781967,-0.01267151070898831,-0.005030376217460719,0.01622750776887094,-0.011673537943236778,-0.003660037951970452,-0.0018942788507462227,0.002703966082331144,-0.0018707751001736384,-0.0017364762874618744,-0.011473375155649945,0.0,0.0,-0.0017420123968656664,0.008888780268136998,0.0005769343576365049,-0.0013531219110537451,0.009704495199645002,-0.00238371581168928,-0.0011018472536746815,0.0
2002-02-15,-0.00614591653410157,-0.02133729916810667,0.0007049719462488557,-0.013513708992659135,-0.003601493873250261,-0.0032466091273499753,-0.004199939185139168,-0.00239887243393222,-0.010803306014310676,-0.0014971631813833763,-0.01112234744186702,0.011976191436841255,-0.002952641150193225,-0.008211949266348606,-0.029826343552338597,-0.0023884090825748716,-0.010440383077716331,-0.011025874850373207,-0.0030543933624987973,0.0,0.0019662628667886928,-0.010954702807295047,0.005206195340075936,0.005571020043615427,-0.010843610470748333,-0.0022884037095884935,-0.010753172082044848,-0.011031302735353687,0.0008859764901372191
2002-02-19,-0.02120087978094809,-0.012355004271412007,-0.013380770298442424,-0.016189034507306466,-0.014457957475011551,-0.009772079854824756,-0.01347420222039819,-0.022718957013249996,-0.018233147587128573,-0.019387478249950685,-0.01942688095617562,0.004930652831729221,-0.019743445943220084,-0.018302846707668463,-0.030743746251435056,-0.014596046367489457,-0.01920851139601143,-0.01874596412604157,-0.020833440200424658,0.0,0.0,-0.01891813356573424,-0.006374332926276982,-0.0038208070869292232,-0.01859591367819391,-0.017889926827138525,-0.01892086760498779,-0.018962306664091155,-0.0070798519105815805
2002-02-20,0.00451227907970897,0.004415166401569026,-0.002141092177913251,-0.005063382631162239,-0.009779678158472915,0.002193270143831416,0.013658236054976847,0.01189680675061755,0.016273236472975405,0.016930820949368597,0.014597955958393527,0.0068693165754691865,0.016113149518891756,0.017645619071316787,0.013552387395187715,0.016457567723824118,0.01682599568818799,0.013727500332215037,0.015018744289749808,0.0,0.0,0.013587521254558865,-0.005212937454896149,0.008628352365060099,0.012466237201258501,-0.0056047994821362135,0.013131094917236075,0.01136965156026104,0.010695268885570819
2002-02-21,-0.0068284725810537905,-0.0029303498855514087,-0.0014304575266966824,-0.00763352120855787,-0.0024692023667600704,-0.007294398245179745,-0.014645542697858338,-0.016621099393475558,-0.020988178642088795,-0.02137491174499817,-0.016443563131660288,-0.005847780125036062,-0.018830889679263163,-0.018429291256954694,-0.04751066095029299,-0.01079359149256387,-0.020707232251890306,-0.01530922028863424,-0.018495756466246016,0.0,0.0,-0.015475365930274987,0.013301474439411098,-0.010456011108178065,-0.015957349871357995,0.009394107791189876,-0.014986130982831303,-0.010680157447125471,-0.004409280772012414
2002-02-22,0.007237248767260063,0.004408677363995084,0.006447113434058904,-0.012820744801572914,0.0,0.0025719911857262634,0.014863222659952546,0.0072829925380193394,0.013029332450023468,0.01800011189541295,0.008359157488000424,-0.007843047572928197,0.014141291916798915,0.012109167353054895,0.005077542195115914,0.008573743509642684,0.012372965500435873,0.0077913795248827356,0.012563010053212587,0.0,0.0,0.008209475859074278,0.01909286782631292,0.012872076447247416,0.007306846162510983,-0.0037227455980812785,0.008223792974787703,0.007954953966238465,0.006200531509192864
2002-02-25,0.012574355987073016,0.013167395655546477,0.0007115823378525121,0.022078274385594288,0.0012374297240647092,0.007695020660368979,0.011013018903672345,0.013915051479895357,0.01623628133516375,0.006253526594472092,0.019688825618409123,0.0019764947905853703,0.006972550942858868,0.0141599373451331,0.04041606875474213,0.010818787326011048,0.016508692186026463,0.018384547955126784,0.007444110315647512,0.0,0.0,0.017974537181253636,0.017174344610108916,0.0009486191897918328,0.017788661090003544,0.008874442990530085,0.01631288762108296,0.01972924568504464,0.005281347648865342
2002-02-26,-0.005676854657884589,0.005775953145064738,0.004267451098709296,0.002541034332965042,0.004944510353880549,0.005090721755049543,0.007649278488250921,0.005381782713971051,-0.0018846817628631607,0.004714212304301579,0.0,0.0059168578052402054,0.006923610636395461,0.003896742119917196,-0.0037129692813808735,0.005581083355623573,-0.0020638373512185115,0.0,0.007389276832533209,0.0,-0.0009815937253186968,0.0,0.0,0.0007579451679216032,0.0033194381261603123,-0.0009258093778095056,0.0012047600895410682,0.0027638503743507847,0.0008759667614897104
2002-02-27,0.011150764518992329,-0.0035891965230431255,-0.0014165215139303466,0.02344744627608586,0.01845000596868074,0.0032565340289989475,0.004255363809335444,0.0010709903070187377,0.0038666572991832293,0.004585827234319773,0.0,0.011764725462514392,0.00294716802347339,0.009164619752648928,-0.013761589509581063,0.0028132673232630356,0.003866388685849209,0.0005950018642990607,0.0030560897453664193,0.0,0.0019652035027850623,0.0008776171500057828,0.0011511336966294472,-0.0005676436940055263,-0.003503882028716765,0.012511475599839672,0.0008013419706218716,0.004409914173634677,0.0008746697827994865
