,EFA,EWG,EWU,EWW,FEMKX,FLPSX,IJS,IJT,IVV,IWM,JUEAX,MACSX,MASKX,MDY,QQQ,SLYV,SPY,SWPPX,SWSSX,TGINX,VBIRX,VFIAX,VGENX,VGSLX,VTI,VTRIX,VTSAX,VVIAX,YACKX
JUEAX,0.809182731574346,0.7579204029400185,0.7489465802382282,0.6610528186632706,0.7047371193310028,0.7878851655979293,0.7911089470974173,0.8321930550337102,0.924888458433342,0.8329041668879765,1.0,0.5923909807871147,0.8281536305644048,0.8639229010658069,0.8507697399392893,0.7819789062592759,0.9230844357512356,0.9275754666663544,0.7995297386332073,0.2605459150762147,-0.20621718481744553,0.9291453748289269,0.694655581401286,0.6612359917659437,0.9240095422565409,0.7650784500665102,0.9275111351281228,0.8912289151915451,0.7146650809242187
MACSX,0.6698733588320019,0.5888512192792805,0.6042963475317176,0.5739188453020264,0.7812094359846384,0.5893778293008287,0.5382736595441553,0.5680472545373164,0.6102336710105574,0.5728775707717015,0.5923909807871147,1.0,0.5562081519656088,0.5962347535238127,0.5520553883191057,0.5436677053961856,0.6102195926482759,0.6096470908180448,0.5569138435918338,0.3306770179817545,-0.09934351574932508,0.6110151170907728,0.5569059468088368,0.4726184023182621,0.6172827764752385,0.69728910941129,0.617788767164363,0.5844768523262152,0.5119836481352585
MASKX,0.7773737684298053,0.7270761235304519,0.7167768650647329,0.6652919958544474,0.684310211080701,0.8251435693897385,0.9378448210839478,0.9539634006019463,0.8630443793080794,0.9655368850187366,0.8281536305644048,0.5562081519656088,1.0,0.9320493076894346,0.7828049727456238,0.9163188300923206,0.8588774830026241,0.8654403909691731,0.933801398236185,0.2553498874301142,-0.18086908650587077,0.866644892995452,0.6838794210906659,0.7306341132275893,0.8872390660809099,0.7390691491502492,0.8938865809081009,0.856128225087,0.6999051262431027
MDY,0.8338926075910286,0.7762215525350213,0.7820263904244561,0.7114860962263118,0.7353988271589249,0.8652712954158392,0.933805955563551,0.9543918340573517,0.9266023430360171,0.9596098690506132,0.8639229010658069,0.5962347535238127,0.9320493076894346,1.0,0.8241556378680401,0.9226806212768692,0.9275718851299666,0.923100371228769,0.9281771253138035,0.28092542687119715,-0.19104242322653248,0.9249742537670141,0.7539158493938218,0.7577914716356237,0.9439339547077621,0.7930538656119319,0.9446539684377494,0.9191141978126707,0.7464725859731424
QQQ,0.760205714311781,0.7202029414693333,0.6759975923278685,0.6190439297333274,0.6931645452997613,0.7291674012024376,0.7330223660052579,0.8079622676999374,0.9087307141581844,0.8117858154367847,0.8507697399392893,0.5520553883191057,0.7828049727456238,0.8241556378680401,1.0,0.7074229104419932,0.9070291261490984,0.9058973852881109,0.7821978073261475,0.2361069789742502,-0.2000822210059586,0.9072001438179575,0.5814501779299638,0.5827808432133915,0.9066676373608976,0.6965626728417228,0.9071041657217518,0.7986111605762763,0.6589023304649925
SLYV,0.7617578332283531,0.7133229997392415,0.7206991996606541,0.6656116409704566,0.6643404983677826,0.82473834094728,0.9548564384290164,0.9320325453015864,0.835887518586711,0.9327785527721952,0.7819789062592759,0.5436677053961856,0.9163188300923206,0.9226806212768692,0.7074229104419932,1.0,0.8334134172481341,0.8390430808412138,0.9125389671208363,0.2697376243518924,-0.17752938004840896,0.8407855969046166,0.707480119541777,0.7310255816248964,0.8592782059689917,0.743968999405877,0.8655702852321877,0.8647228161201305,0.7056865555719785
SPY,0.8716740143458029,0.8114919554037935,0.8088680246398511,0.7132038121323472,0.7577598284552821,0.8374981194854019,0.8467551845931276,0.8846519434878553,0.9945795933501977,0.8895298648377233,0.9230844357512356,0.6102195926482759,0.8588774830026241,0.9275718851299666,0.9070291261490984,0.8334134172481341,1.0,0.9903865498737889,0.8582960112127137,0.2814514506439493,-0.21065197401621658,0.991987081455889,0.7435466503787206,0.714162289493271,0.9913299861505253,0.8124862256628843,0.9892859268013314,0.9528436491767417,0.767307053286309
SWPPX,0.8687951829574714,0.8114897077638361,0.8077617767379233,0.7119125703774021,0.753837781856578,0.840340534791248,0.8503828209554044,0.8894227228721205,0.9925941599726412,0.8899965149992325,0.9275754666663544,0.6096470908180448,0.8654403909691731,0.923100371228769,0.9058973852881109,0.8390430808412138,0.9903865498737889,1.0,0.8694996217621842,0.27919629560575876,-0.21798750332521105,0.9979107021251626,0.7415415614653869,0.7255474654960914,0.9904911446690383,0.8107967966141698,0.9949711093836037,0.9597056725272609,0.770708183802738
SWSSX,0.7758493186928748,0.7282900702900568,0.719898195138983,0.6580205413939507,0.6810713069264654,0.8208443070569331,0.9277290180533168,0.9468315215134627,0.8624338606832507,0.9559132321963847,0.7995297386332073,0.5569138435918338,0.933801398236185,0.9281771253138035,0.7821978073261475,0.9125389671208363,0.8582960112127137,0.8694996217621842,1.0,0.25532534670648604,-0.17588347020880332,0.866354718252858,0.6845995296983357,0.721720173179729,0.8860637986486831,0.7376615511424589,0.8925384249452298,0.8553340732758054,0.6975992707478268
TGINX,0.32194819032095257,0.3073182615177713,0.3024365083930824,0.3004860408009539,0.3557380334177211,0.29258265588822185,0.24934138462435274,0.2589402991395112,0.28031767465317015,0.2608710542891677,0.2605459150762147,0.3306770179817545,0.2553498874301142,0.28092542687119715,0.2361069789742502,0.2697376243518924,0.2814514506439493,0.27919629560575876,0.25532534670648604,1.0,0.1685000560760737,0.27880872745175417,0.28413843918600734,0.2281480031595448,0.2883391585067512,0.33906306120433904,0.2840485990611439,0.2686117056933107,0.24279817646691865
VBIRX,-0.1528342125020104,-0.15175598921789987,-0.15459553195554412,-0.1385522396572274,-0.14012505782768578,-0.18094066532673397,-0.18697056182285435,-0.18566855141851188,-0.21174223296481867,-0.18760070618350155,-0.20621718481744553,-0.09934351574932508,-0.18086908650587077,-0.19104242322653248,-0.2000822210059586,-0.17752938004840896,-0.21065197401621658,-0.21798750332521105,-0.17588347020880332,0.1685000560760737,1.0,-0.21865787045072924,-0.16199750266183785,-0.08140057885835236,-0.20719939882871924,-0.15655997994791426,-0.21341332098405283,-0.22648558076087094,-0.1626758137067974
VFIAX,0.8705852845128242,0.812984397320284,0.8090896048352316,0.7138300489459479,0.7557190173082161,0.8420060707170347,0.8517623702029204,0.8909266980672136,0.9943342261367752,0.8913552278524131,0.9291453748289269,0.6110151170907728,0.866644892995452,0.9249742537670141,0.9072001438179575,0.8407855969046166,0.991987081455889,0.9979107021251626,0.866354718252858,0.27880872745175417,-0.21865787045072924,1.0,0.7445933500907603,0.7273433366503352,0.9921701985462792,0.8128256285246731,0.996946609083935,0.9617414909956139,0.7719864395086615
VGENX,0.7734634245894194,0.6975522884219942,0.7718604571221748,0.659967133257615,0.6981024012695445,0.7167163247562244,0.7041377619801321,0.6999830075036874,0.7401372475923504,0.7031026806679415,0.694655581401286,0.5569059468088368,0.6838794210906659,0.7539158493938218,0.5814501779299638,0.707480119541777,0.7435466503787206,0.7415415614653869,0.6845995296983357,0.28413843918600734,-0.16199750266183785,0.7445933500907603,1.0,0.562466070272288,0.7490252382831857,0.766434747856006,0.7508685018492521,0.7821052613097003,0.6098385255049077
VGSLX,0.6609948200108314,0.598476285069676,0.6287057636769723,0.5747431985782473,0.5705368767147518,0.6643027371390158,0.7431988318128188,0.716080265976052,0.7214055708530368,0.7386349003950253,0.6612359917659437,0.4726184023182621,0.7306341132275893,0.7577914716356237,0.5827808432133915,0.7310255816248964,0.714162289493271,0.7255474654960914,0.721720173179729,0.2281480031595448,-0.08140057885835236,0.7273433366503352,0.562466070272288,1.0,0.7267913831955685,0.6239354588844993,0.741200440686206,0.7622663119473113,0.6363105463713575
VTI,0.8706098192046084,0.8134822158398228,0.8064175221535507,0.7179144823843618,0.763657859558745,0.8525990202516202,0.8729785094919086,0.912165961123024,0.9917821887355972,0.9143081593935753,0.9240095422565409,0.6172827764752385,0.8872390660809099,0.9439339547077621,0.9066676373608976,0.8592782059689917,0.9913299861505253,0.9904911446690383,0.8860637986486831,0.2883391585067512,-0.20719939882871924,0.9921701985462792,0.7490252382831857,0.7267913831955685,1.0,0.815731105273555,0.9947434251073531,0.9535034880014537,0.7707475509190922
VTRIX,0.9300672598510842,0.866027622155045,0.8742370952273567,0.7275852309739121,0.8428679951250535,0.7818475422807963,0.7391256186782901,0.7519962883369206,0.809787568166241,0.7588899478853874,0.7650784500665102,0.69728910941129,0.7390691491502492,0.7930538656119319,0.6965626728417228,0.743968999405877,0.8124862256628843,0.8107967966141698,0.7376615511424589,0.33906306120433904,-0.15655997994791426,0.8128256285246731,0.766434747856006,0.6239354588844993,0.815731105273555,1.0,0.8181533623318854,0.8139243504192714,0.6818086585113645
VTSAX,0.8722153256141507,0.8145805974424011,0.8098373410689623,0.7208760678236729,0.7646939082162248,0.854708342228797,0.8764645200501695,0.9157669441389156,0.9916292620260082,0.9177273054184015,0.9275111351281228,0.617788767164363,0.8938865809081009,0.9446539684377494,0.9071041657217518,0.8655702852321877,0.9892859268013314,0.9949711093836037,0.8925384249452298,0.2840485990611439,-0.21341332098405283,0.996946609083935,0.7508685018492521,0.741200440686206,0.9947434251073531,0.8181533623318854,1.0,0.9595215963151904,0.7732097867195525
VVIAX,0.8643502899465836,0.8044494516648094,0.8222372163776334,0.7196934441414702,0.7174069064058536,0.8478979410955324,0.8731275012833009,0.8746568959871697,0.9556192688271056,0.8786759641261985,0.8912289151915451,0.5844768523262152,0.856128225087,0.9191141978126707,0.7986111605762763,0.8647228161201305,0.9528436491767417,0.9597056725272609,0.8553340732758054,0.2686117056933107,-0.22648558076087094,0.9617414909956139,0.7821052613097003,0.7622663119473113,0.9535034880014537,0.8139243504192714,0.9595215963151904,1.0,0.7828328065032039
YACKX,0.7107949781726681,0.6657159332151215,0.676765888337695,0.5921418935391105,0.6116730770659351,0.6963317428889078,0.7083352825526328,0.7119122472283774,0.7682210645839281,0.715428151836244,0.7146650809242187,0.5119836481352585,0.6999051262431027,0.7464725859731424,0.6589023304649925,0.7056865555719785,0.767307053286309,0.770708183802738,0.6975992707478268,0.24279817646691865,-0.1626758137067974,0.7719864395086615,0.6098385255049077,0.6363105463713575,0.7707475509190922,0.6818086585113645,0.7732097867195525,0.7828328065032039,1.0
