SimID,FactorSimID,Similarity,OverlapAssets,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor
3874,970,0.6,"TGINX,VBIRX,VTSAX",3,0.0977949517459002,1.1823790705947366,0.068018895540143,0.8725568949533602
3874,684,0.6,"VBIRX,VTSAX,YACKX",3,0.0977949517459002,1.1823790705947366,0.1166668878242846,0.8018790417011428
360,684,0.6,"EWU,VBIRX,YACKX",3,0.1169642413337955,1.1037544247522133,0.1166668878242846,0.8018790417011428
2023,2884,0.6,"MACSX,TGINX,YACKX",3,0.1218818539314162,1.0555462648192917,0.1185162263038584,1.0674075531590637
2023,1250,0.6666666666666666,"FEMKX,MACSX,TGINX,YACKX",4,0.1218818539314162,1.0555462648192917,0.1118874810338018,0.8900305367731616
4612,1077,0.625,"FLPSX,IWM,MACSX,SPY,YACKX",5,0.1617123790699811,1.0529010019403964,0.1155889390244086,0.7438065724642555
682,3879,0.6,"FEMKX,FLPSX,TGINX",3,0.108505311051804,1.0393734536665638,0.1147806434174091,0.8242007109584748
682,2875,0.6,"FEMKX,FLPSX,SWSSX",3,0.108505311051804,1.0393734536665638,0.1248183202047663,0.7770828731627355
4822,2229,0.6,"IJT,TGINX,YACKX",3,0.1228340258528306,1.03343240313976,0.133565301979634,0.9364175675443503
693,64,0.8333333333333334,"FLPSX,IVV,JUEAX,TGINX,YACKX",5,0.1371383241549636,1.0103299069349416,0.1383822215971894,0.9505781939360248
693,1646,0.6666666666666666,"FLPSX,IVV,JUEAX,YACKX",4,0.1371383241549636,1.0103299069349416,0.1595116836257706,0.8991558731818678
1777,491,0.6666666666666666,"FLPSX,MACSX,VBIRX,VTI",4,0.1009133000702887,1.0103094667613008,0.10600998648182,0.90163646500884
4561,882,0.6666666666666666,"FEMKX,MACSX,VTSAX,YACKX",4,0.1083067548473919,1.0079508028972124,0.1473486528881103,0.8228115016752634
517,4646,0.8,"FLPSX,MACSX,TGINX,VGENX",4,0.1342029850176406,0.9752430106295517,0.1474303703536931,1.1104124310139518
