OverlapAssets,Similarity,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor,SimID,FactorSimID,Avg_Return,Avg_Sharpe,Sharpe_Diff,Return_Diff,Num_Traditional_Portfolios,Num_Factor_Portfolios
"JUEAX,MACSX,VTSAX,YACKX",0.6666666666666666,4.0,0.1581930442084592,0.8735104367232434,0.1462445111077317,0.8845872285564449,[362],[3617],0.15221877765809544,0.8790488326398441,0.011076791833201538,0.011948533100727493,1,1
"FEMKX,QQQ,YACKX",0.6,3.0,0.1394972142627911,0.7604342940445729,0.1297578777759042,0.9960944418913992,[48],[150],0.13462754601934765,0.878264367967986,0.23566014784682632,0.009739336486886907,1,1
"FEMKX,FLPSX,IVV,MACSX,SWSSX,TGINX,YACKX",0.6363636363636364,7.0,0.1309714092344702,0.8291592459205399,0.13712616457853,0.9188178556715088,[621],[1446],0.1340487869065001,0.8739885507960243,0.08965860975096884,0.006154755344059792,1,1
"FLPSX,MACSX,MDY,VFIAX",0.6666666666666666,4.0,0.1498329530584609,0.8683871014821101,0.148513718307384,0.8700036475733185,[958],[4128],0.14917333568292246,0.8691953745277143,0.0016165460912084262,0.0013192347510768976,1,1
"EWU,FLPSX,MACSX,SWSSX,VBIRX,VGSLX,YACKX",0.7,7.0,0.1136948500853522,0.8617832249322043,0.1190153804003962,0.8751611429408024,[4554],[1509],0.1163551152428742,0.8684721839365033,0.01337791800859811,0.005320530315044009,1,1
"SLYV,VFIAX,VTRIX,YACKX",0.6666666666666666,4.0,0.1372770345706989,0.8184354143747711,0.124966974378557,0.9182938698397748,[2997],[398],0.13112200447462796,0.8683646421072729,0.09985845546500371,0.012310060192141897,1,1
"EWG,TGINX,VBIRX,VTI,YACKX",0.625,5.0,0.1136411902842426,0.8342546962042204,0.105466952450561,0.8998021022915647,[2133],[1869],0.1095540713674018,0.8670283992478925,0.06554740608734422,0.00817423783368161,1,1
"FLPSX,IJT,JUEAX,MDY,VBIRX,VGENX,YACKX",0.6363636363636364,7.0,0.1355219973740097,0.8748397506973857,0.1256363156971317,0.8560979730040971,[2386],[2736],0.1305791565355707,0.8654688618507413,0.018741777693288664,0.009885681676877978,1,1
"VGENX,VTSAX,YACKX",0.6,3.0,0.15379382141064085,0.7895826943950517,0.1653991347976083,0.9405081268024528,"[3983, 4975]",[2557],0.15959647810412458,0.8650454105987522,0.15092543240740108,0.011605313386967436,2,1
"FLPSX,SWSSX,VBIRX",0.6,3.0,0.1483504653175378,0.8863784579084825,0.13318789234791145,0.833647802819192,[2702],"[1194, 2875]",0.1407691788327246,0.8600131303638372,0.052730655089290424,0.015162572969626337,1,2
"EWW,FLPSX,MACSX,TGINX,VBIRX",0.625,5.0,0.1160804807793739,0.9375866666244288,0.12002695153496,0.7682758992611034,[4978],[4206],0.11805371615716695,0.8529312829427661,0.1693107673633254,0.003946470755586101,1,1
"FLPSX,SPY,SWPPX,VTI,YACKX",0.625,5.0,0.1408726654913862,0.7626914280024055,0.1135857128947584,0.9408707269928108,[1502],[1146],0.1272291891930723,0.8517810774976082,0.1781792989904053,0.027286952596627792,1,1
"FLPSX,MACSX,SPY",0.6,3.0,0.1375498870909032,0.8642006598757439,0.1214725483241813,0.8379101082801643,"[2196, 1141]",[345],0.12951121770754226,0.8510553840779541,0.02629055159557958,0.016077338766721905,2,1
"EWU,FLPSX,JUEAX,SLYV,TGINX,VBIRX",0.6,6.0,0.1020551358271463,0.8050806380593809,0.1113696044061212,0.8945461351107243,[2613],[3304],0.10671237011663376,0.8498133865850526,0.08946549705134343,0.009314468578974902,1,1
"SPY,VBIRX,YACKX",0.6,3.0,0.1439174316155239,0.8602867088305749,0.1347079773096096,0.8387487957791572,[3145],[3396],0.13931270446256674,0.849517752304866,0.021537913051417723,0.0092094543059143,1,1
"QQQ,VBIRX,YACKX",0.6,3.0,0.1424526699584932,0.8537929084644936,0.10852643226134574,0.8428762490119217,"[3657, 597, 1742]","[2019, 150]",0.12548955110991947,0.8483345787382077,0.01091665945257192,0.03392623769714746,3,2
"FLPSX,QQQ,VBIRX,VFIAX,VVIAX",0.625,5.0,0.1126192993658738,0.8633480690509633,0.1405685775819779,0.8330398804129109,[1882],[3730],0.12659393847392586,0.8481939747319371,0.030308188638052402,0.027949278216104115,1,1
"MACSX,MDY,TGINX,VBIRX,VVIAX,YACKX",0.6666666666666666,6.0,0.1107254910906119,0.8346572270417962,0.0988159414763144,0.8579974447995945,[1672],[668],0.10477071628346316,0.8463273359206953,0.023340217757798265,0.011909549614297507,1,1
"FLPSX,IJT,IVV,JUEAX,MACSX,QQQ,VBIRX,VGENX",0.6666666666666666,8.0,0.1335410002975992,0.8029736207829109,0.1235472648056882,0.889477396340953,[4440],[3278],0.1285441325516437,0.8462255085619319,0.08650377555804212,0.009993735491910988,1,1
