Portfolio,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
HRP,0.09481499477241952,0.12583739100897728,0.7534723504054163,0.37835504361349315
Cluster,0.11504092733547974,0.1682799445487316,0.683628269809451,0.49357384978638646
RandomSearch,0.11601081877332238,0.16938508984971587,0.6848939235221416,0.48773910075611554
