PortfolioID,AnnualReturn,Volatility,Sharpe,ETFs,Weights
10,0.11974468165048814,0.20100734401676434,0.5957229186636148,"MDY,IJS,QQQ,IVV,VTI","0.21449197109652557,0.13749271184495335,0.17294928225267525,0.1365105241997524,0.3385555106060936"
11,0.12315135086974652,0.19584336325681662,0.6288257555516631,"SWPPX,EWW,JUEAX,SWSSX,VTSAX,IVV","0.25016099912349987,0.04907540821165752,0.10404371038017811,0.17040092553949512,0.10065920938546334,0.325659747359706"
12,0.11322318973044276,0.2044571383269183,0.5537746965303001,"VGENX,EWU,MASKX,TGINX,SWSSX,IWM,SPY,EWW","0.03631705110542856,0.26618394161414777,0.056658516341979194,0.06111779238514963,0.2737420309852285,0.09841577247087481,0.022957117031878648,0.1846077780653129"
13,0.12338067335675784,0.1975095982969884,0.6246819112620268,"FEMKX,FLPSX,IVV,IJT,VFIAX,SLYV,JUEAX","0.05888471602959142,0.06474073262640977,0.22061352599586065,0.2732626660879584,0.14324335918986772,0.1774224391246337,0.06183256094567818"
14,0.13451057844309997,0.20318797262859514,0.6620006917878463,"IJT,SLYV,VGENX,VGSLX,EWG,MASKX,VTI,YACKX","0.05125136968461233,0.11043138119154262,0.1921838824053135,0.013298774998120636,0.16344031517604635,0.16765149027072032,0.14116706449476102,0.16057572177888324"
15,0.11070437280234244,0.18346280760480552,0.603415887108896,"MDY,EWU,FLPSX,EWW,IVV,VTSAX,EFA,VTRIX,MASKX,VBIRX,QQQ,SPY","0.11587706520117234,0.09918449521996754,0.021391665861639247,0.1099797630359499,0.06058369039514543,0.09450430403381017,0.053702540442138715,0.04682536373635179,0.09711702744007238,0.0716679732794161,0.0872163838317008,0.14194972752263563"
16,0.08214251441356597,0.16559866641646287,0.49603367098975526,"EWU,MDY,FEMKX,EFA,EWG,VBIRX","0.014672962133566874,0.1525002105626989,0.029852416682712348,0.369259697183644,0.21945006965814587,0.21426464377923202"
17,0.10447062668731233,0.21178287737426318,0.49329118568302194,"EWU,IWM,EWG,VGENX,FEMKX,IJS","0.26408972468960484,0.1702019510885371,0.252741394065084,0.09755020323067862,0.14126413260775278,0.07415259431834276"
18,0.09076944866031379,0.1809381483687876,0.5016600947817138,"VGENX,TGINX,VTRIX,EFA","0.0710669954627207,0.134578267437556,0.11948074787713008,0.6748739892225932"
19,0.12118594559159158,0.18950958503513893,0.6394713257860876,"VTRIX,TGINX,IVV,MACSX,VFIAX,EWU,SWSSX,MASKX,FEMKX,EWG,VGSLX,VGENX","0.061496002834493996,0.021968096597153722,0.10762032574733343,0.08893964008124557,0.13973534318006572,0.0028318201521697413,0.08771492044536006,0.15715620679734452,0.09002769498751549,0.08895777829362049,0.06279332401477941,0.09075884686891796"
