PortfolioID,AnnualReturn,Volatility,Sharpe,Assets,Weights
0,0.12459363319311033,0.11471912679435926,1.0860755017465544,"EWU,TGINX,YACKX","0.06509560289078005,0.43656853902375153,0.4983358580854684"
1,0.13453627645498403,0.13904772582169916,0.967554669880037,"FLPSX,TGINX,VGENX","0.44029081714595847,0.34171584383697295,0.21799333901706852"
2,0.08699548995637622,0.1118847685106366,0.7775454256591305,"EWW,FLPSX,MACSX,TGINX,VBIRX","0.3116018663493695,0.09878938751945043,0.0588458901711511,0.28835789261219463,0.24240496334783432"
3,0.1351205614512373,0.13191139418877437,1.0243282036566939,"TGINX,VTSAX,YACKX","0.29730985581856234,0.19493249117654385,0.5077576530048938"
4,0.13610218357642112,0.15067833754516383,0.9032631086444414,"IJT,MACSX,TGINX,YACKX","0.33941566995895617,0.04819625916174328,0.1942587852437491,0.41812928563555135"
5,0.13425862324616317,0.13799442812774695,0.9729278570716972,"FEMKX,MACSX,YACKX","0.07711477276712077,0.7237503896702765,0.19913483756260267"
6,0.142986828913233,0.1621880734157216,0.8816112424415337,"EWG,FLPSX,MACSX","0.23003815624147025,0.4033627110762361,0.36659913268229366"
7,0.1493716652820653,0.16102810737159232,0.9276123760019838,"FLPSX,IWM,MACSX,YACKX","0.15256783023837908,0.2636827292979993,0.27565292738026853,0.30809651308335295"
8,0.1284879948264265,0.15722452269930773,0.8172261719767475,"FLPSX,TGINX,VGENX","0.2572869000656302,0.3181353609112336,0.4245777390231361"
9,0.12064595901726133,0.15094586649919473,0.7992663980494289,"MACSX,VTI,YACKX","0.4433927371766661,0.5059542727560581,0.05065299006727585"
10,0.13582217677064587,0.13701433159812423,0.991299050153563,"FEMKX,TGINX,YACKX","0.2741387082379773,0.2549280681433874,0.47093322361863516"
11,0.13935431781638577,0.1398503710015156,0.9964529719758524,"FLPSX,IVV,TGINX","0.5469833346473248,0.18382926464458088,0.2691874007080944"
12,0.10864731436284393,0.09698215843989284,1.1202814632155342,"FLPSX,MACSX,TGINX","0.37611259088040055,0.01908589268608687,0.6048015164335125"
13,0.12659845667835942,0.12917723955347482,0.9800368634286547,"FLPSX,IVV,TGINX","0.4307139293032215,0.22881614540850168,0.3404699252882768"
14,0.1075087055635409,0.18142998610069083,0.5925630480061617,"EWU,SWPPX,TGINX,YACKX","0.43763857347963353,0.36951136027868664,0.04793463730602927,0.14491542893565057"
15,0.13495375464433293,0.15024906400605798,0.8982003018593956,"SWSSX,VBIRX,VGENX,YACKX","0.18338208137576287,0.21399485231985707,0.22594430616975097,0.37667876013462903"
16,0.12823605982159902,0.1554585212250047,0.8248892296871593,"EWG,FLPSX,MACSX","0.2553691917380514,0.1933597421072089,0.5512710661547398"
17,0.12565876428421868,0.12396210388074913,1.0136869281042675,"FLPSX,TGINX,VGENX","0.4137929812908848,0.4313974569548507,0.15480956175426439"
18,0.15024420723180434,0.17319105909156915,0.8675055630462286,"EWG,FLPSX,MACSX","0.2578102745468878,0.5206910865156177,0.2214986389374946"
19,0.1254043442882477,0.12076788959486424,1.0383914524708282,"MACSX,SWPPX,TGINX,YACKX","0.3967096684247839,0.16286529488482726,0.1838197784849008,0.2566052582054881"
20,0.09604785909808555,0.10536023751689498,0.911613919650512,"EWW,FLPSX,MACSX,TGINX,VBIRX","0.19447598291588558,0.08932833438739096,0.3040439099292803,0.2421791990337098,0.16997257373373334"
21,0.08007632893572199,0.10373577096438888,0.7719259055124884,"MACSX,VBIRX,VGENX","0.10006546793095532,0.5261097267883657,0.37382480528067896"
22,0.10560395355908722,0.1266908897924111,0.8335560175804605,"EWU,TGINX,YACKX","0.3103521643635757,0.38244389951950863,0.3072039361169156"
23,0.13238130652687644,0.1715160526128506,0.7718304176792717,"EWU,SWPPX,TGINX,YACKX","0.217884861843799,0.3612878229000244,0.04055529577963605,0.3802720194765405"
24,0.14314821837812158,0.13195953024149695,1.0847887842291375,"IJT,MACSX,TGINX,YACKX","0.07380860205602832,0.3771507629045029,0.11238568620873805,0.43665494883073086"
25,0.12184820535451299,0.1483454475739333,0.8213814939874413,"MACSX,VTI,YACKX","0.4784804237562264,0.4584099236325743,0.06310965261119927"
26,0.1068864083216867,0.09583766273281892,1.1152860501165396,"IJT,MACSX,TGINX,YACKX","0.07414027007383726,0.09772142571122393,0.5364274307894606,0.29171087342547825"
27,0.04368600779741894,0.04525790713134727,0.9652679623614416,"TGINX,VBIRX,VTSAX","0.5322516074970961,0.46612954324502165,0.0016188492578822775"
