PortfolioID,AnnualReturn,Volatility,Sharpe,FactorMagnitude,Score,ETFs,Weights
0,0.09168557811801445,0.13097078045330057,0.7000460545526503,0.663904017229297,0.3680940459380018,"IJT,IVV,SWPPX,TGINX","0.05248536843738645,0.20222535307465664,0.3716696087731422,0.3736196697148147"
1,0.11846619578150362,0.2063971886269566,0.5739719449164594,1.060210591784196,0.04386664902436144,"EWW,SWPPX,VTSAX,VBIRX,SLYV,SPY,SWSSX,EWG,IJS,IWM,YACKX","0.18810005239844108,0.1277310154503951,0.14164907496993315,0.011243896658436631,0.14138476988773108,0.07594771350440438,0.16280254703049182,0.04338187531832765,0.06060241760781892,0.045862027177390685,0.0012946099966294812"
2,0.11432685498593875,0.2125375466171412,0.5379136853964149,1.027483098091691,0.024172136350569473,"VTI,VVIAX,QQQ,VGSLX","0.4146610886009823,0.14146990232260787,0.023508618083010392,0.42036039099339945"
3,0.1273037042963002,0.19161925416380252,0.6643575816628362,0.9778405218128664,0.175437320756403,"MDY,JUEAX,VGSLX,YACKX,IJT,EFA,VFIAX,VVIAX,VTRIX,SLYV","0.04091038052278411,0.14023637944027162,0.0748473382299729,0.11419822529803922,0.09820247644462494,0.07433802361128126,0.16961266808369316,0.1231881712703665,0.04245808861694232,0.12200824848202392"
4,0.12460547852425306,0.2060230176066879,0.6048133843089973,1.0602798230125676,0.07467347280271353,"SLYV,SWSSX,VVIAX,FEMKX,EWU,IJS,IVV,SWPPX,VGENX,MDY,EWW,JUEAX","0.11187640311500623,0.12307350500426543,0.019311733183615943,0.03793518053448447,0.04231184529396802,0.10483160065359436,0.0730913788393074,0.08766019187226749,0.10372809646846819,0.11009450617303869,0.1087916975858376,0.07729386127614639"
5,0.10022638569265156,0.1715007385254992,0.5844078955831996,0.8280342814345056,0.1703907548659468,"EWU,IVV,SPY,TGINX,EWW","0.1498964517064699,0.1829238906236384,0.21792754400812298,0.17852694177075915,0.2707251718910097"
6,0.13717891757567868,0.17663235795910334,0.7766352618552512,0.9116684893663672,0.3208010171720676,"TGINX,VFIAX,YACKX,QQQ,VGSLX","0.06367004746929748,0.3926479575137597,0.23565499012531899,0.29722796806891694,0.01079903682270683"
7,0.10547664047521556,0.18365089088672565,0.5743323104284459,0.9068551731949928,0.12090472383094952,"SWPPX,EWG,MDY,FEMKX,VGSLX,VFIAX,TGINX,EWW,SWSSX,IJT","0.04442854070990218,0.24964793725180548,0.15498243532074554,0.03832138344286306,0.024312727816250403,0.1461368573714028,0.14299514528433438,0.08717750860233008,0.1062005358474565,0.005796928352909464"
8,0.11057874790512452,0.16637593282929833,0.664631873280484,0.8255584680684963,0.25185263924623585,"SWPPX,TGINX,EWG,IVV,EWU,JUEAX,SPY,SLYV,MACSX","0.07718728923799703,0.1132558776388561,0.1429730086167893,0.03546502145005014,0.11750311265080068,0.15724289186507906,0.08552852933483278,0.13422396600427408,0.1366203032013209"
9,0.10619466817684461,0.16272866978556244,0.6525873302890256,0.8173881477216015,0.24389325642822485,"TGINX,VTRIX,FLPSX,MASKX,FEMKX,VTSAX,IJT","0.18271305077640337,0.14311417744960608,0.017843425651557835,0.025606898126323635,0.1457804158314193,0.2554269774588168,0.22951505470587294"
10,0.11650938593173908,0.2115569600543805,0.5507234831781969,1.0384365110969147,0.03150522762973951,"EWG,SPY,EWW,SWSSX,VTRIX","0.29284758145038153,0.08728559908168884,0.028522200771683746,0.34522065557975623,0.24612396311648965"
11,0.13047416714515211,0.19215211696482443,0.6790149866995057,0.9583014391536735,0.19986426712266891,"SWSSX,IJS,VTRIX,FLPSX,EWW,VTI,YACKX,VBIRX,EWG","0.1010985558721763,0.14782581798582556,0.14883336644760864,0.043389752658348775,0.13910207572090405,0.09848017419062519,0.18413745798309467,0.013384347509359129,0.12374845163205768"
12,0.10231182523962264,0.20706185352507464,0.4941123799378766,1.006042293201361,-0.008908766662803935,"EWU,SWSSX,VTSAX,IVV,EWG","0.2638566019242532,0.09471282137874273,0.11757824575536456,0.22412370736512352,0.299728623576516"
13,0.10049139854026093,0.15228181543190578,0.6599041274576648,0.765285859428652,0.2772611977433388,"VFIAX,VBIRX,IVV,IWM,YACKX,VTSAX,EFA","0.14451186318713388,0.1944921315494987,0.05321846808224794,0.17901142402337142,0.14335575043901666,0.04663055484833607,0.2387798078703953"
14,0.12313558882952777,0.20038739908111605,0.6144876843263132,1.036315841073067,0.09632976378977964,"SWPPX,FEMKX,TGINX,IWM,FLPSX,IJT,EWW,VTSAX,SWSSX","0.299167347845482,0.08552963974756639,0.011981073680601216,0.0198916117780882,0.040216724135090705,0.22203519621613987,0.08707757080163463,0.03863103722430151,0.19546979857109537"
