Assets,Return,Volatility,Sharpe
"FLPSX,IWM,MACSX,YACKX",0.15219666586845407,0.16255788072213542,0.936261380822305
"FLPSX,MACSX,TGINX",0.12277559674614845,0.10914807276447452,1.1248535465310516
"TGINX,VTSAX,YACKX",0.12022563354013109,0.12761938348031981,0.9420640521952615
"TGINX,VBIRX,VTSAX",0.06637989688145451,0.07566894806362577,0.8772409103089339
"FEMKX,MACSX,YACKX",0.14241250707726258,0.15525540123616077,0.917278921978613
"MACSX,VTI,YACKX",0.14088169070563655,0.1499830693016678,0.9393172933557905
"FLPSX,MACSX,TGINX,VGENX",0.12820156751825187,0.1357554573135004,0.9443566399116884
"FLPSX,TGINX,VGENX",0.1305372586057255,0.14770879558990532,0.8837473630760999
"EWG,FLPSX,MACSX",0.13584208171344944,0.1705092957411634,0.7966843163768648
"SWSSX,VBIRX,YACKX",0.11842759900449132,0.1299057527785762,0.9116424520964107
